year,stage,home_team,away_team,home_score,away_score,outcome,winning_team,date
1966,Semifinals,West Germany,Soviet Union,2,1,H,West Germany,1966-07-25
1966,Semifinals,England,Portugal,2,1,H,England,1966-07-26
1966,Third place,Portugal,Soviet Union,2,1,H,Portugal,1966-07-28
1966,Final,England,West Germany,4,2,H,England,1966-07-30
1970,Group 1,Mexico,Soviet Union,0,0,D,Tied,1970-05-31
1970,Group 4,Bulgaria,Peru,2,3,A,Peru,1970-06-02
1970,Group 3,England,Romania,1,0,H,England,1970-06-02
1970,Group 2,Israel,Uruguay,0,2,A,Uruguay,1970-06-02
1970,Group 1,Belgium,El Salvador,3,0,H,Belgium,1970-06-03
1970,Group 3,Brazil,Czechoslovakia,4,1,H,Brazil,1970-06-03
1970,Group 4,West Germany,Morocco,2,1,H,West Germany,1970-06-03
1970,Group 2,Italy,Sweden,1,0,H,Italy,1970-06-03
1970,Group 1,Belgium,Soviet Union,1,4,A,Soviet Union,1970-06-06
1970,Group 3,Czechoslovakia,Romania,1,2,A,Romania,1970-06-06
1970,Group 2,Italy,Uruguay,0,0,D,Tied,1970-06-06
1970,Group 4,Morocco,Peru,0,3,A,Peru,1970-06-06
1970,Group 3,Brazil,England,1,0,H,Brazil,1970-06-07
1970,Group 4,Bulgaria,West Germany,2,5,A,West Germany,1970-06-07
1970,Group 2,Israel,Sweden,1,1,D,Tied,1970-06-07
1970,Group 1,Mexico,El Salvador,4,0,H,Mexico,1970-06-07
1970,Group 3,Brazil,Romania,3,2,H,Brazil,1970-06-10
1970,Group 1,El Salvador,Soviet Union,0,2,A,Soviet Union,1970-06-10
1970,Group 4,West Germany,Peru,3,1,H,West Germany,1970-06-10
1970,Group 2,Sweden,Uruguay,1,0,H,Sweden,1970-06-10
1970,Group 4,Bulgaria,Morocco,1,1,D,Tied,1970-06-11
1970,Group 3,Czechoslovakia,England,0,1,A,England,1970-06-11
1970,Group 2,Israel,Italy,0,0,D,Tied,1970-06-11
1970,Group 1,Mexico,Belgium,1,0,H,Mexico,1970-06-11
1970,Quarterfinals,Brazil,Peru,4,2,H,Brazil,1970-06-14
1970,Quarterfinals,England,West Germany,2,3,A,West Germany,1970-06-14
1970,Quarterfinals,Mexico,Italy,1,4,A,Italy,1970-06-14
1970,Quarterfinals,Soviet Union,Uruguay,0,1,A,Uruguay,1970-06-14
1970,Semifinals,Brazil,Uruguay,3,1,H,Brazil,1970-06-17
1970,Semifinals,West Germany,Italy,3,4,A,Italy,1970-06-17
1970,Third place,West Germany,Uruguay,1,0,H,West Germany,1970-06-20
1970,Final,Brazil,Italy,4,1,H,Brazil,1970-06-21
1974,Group 2,Brazil,Yugoslavia,0,0,D,Tied,1974-06-13
1974,Group 2,Zaire,Scotland,0,2,A,Scotland,1974-06-14
1974,Group 1,East Germany,Australia,2,0,H,East Germany,1974-06-14
1974,Group 1,West Germany,Chile,1,0,H,West Germany,1974-06-14
1974,Group 4,Italy,Haiti,3,1,H,Italy,1974-06-15
1974,Group 4,Poland,Argentina,3,2,H,Poland,1974-06-15
1974,Group 3,Sweden,Bulgaria,0,0,D,Tied,1974-06-15
1974,Group 3,Uruguay,Netherlands,0,2,A,Netherlands,1974-06-15
1974,Group 1,Chile,East Germany,1,1,D,Tied,1974-06-18
1974,Group 1,West Germany,Australia,3,0,H,West Germany,1974-06-18
1974,Group 2,Scotland,Brazil,0,0,D,Tied,1974-06-18
1974,Group 2,Yugoslavia,Zaire,9,0,H,Yugoslavia,1974-06-18
1974,Group 4,Argentina,Italy,1,1,D,Tied,1974-06-19
1974,Group 3,Bulgaria,Uruguay,1,1,D,Tied,1974-06-19
1974,Group 4,Haiti,Poland,0,7,A,Poland,1974-06-19
1974,Group 3,Netherlands,Sweden,0,0,D,Tied,1974-06-19
1974,Group 1,Australia,Chile,0,0,D,Tied,1974-06-22
1974,Group 2,Zaire,Brazil,0,3,A,Brazil,1974-06-22
1974,Group 1,West Germany,East Germany,0,1,A,East Germany,1974-06-22
1974,Group 2,Scotland,Yugoslavia,1,1,D,Tied,1974-06-22
1974,Group 4,Argentina,Haiti,4,1,H,Argentina,1974-06-23
1974,Group 3,Bulgaria,Netherlands,1,4,A,Netherlands,1974-06-23
1974,Group 4,Poland,Italy,2,1,H,Poland,1974-06-23
1974,Group 3,Sweden,Uruguay,3,0,H,Sweden,1974-06-23
1974,Group A,Brazil,East Germany,1,0,H,Brazil,1974-06-26
1974,Group B,West Germany,Yugoslavia,2,0,H,West Germany,1974-06-26
1974,Group A,Netherlands,Argentina,4,0,H,Netherlands,1974-06-26
1974,Group B,Sweden,Poland,0,1,A,Poland,1974-06-26
1974,Group A,Argentina,Brazil,1,2,A,Brazil,1974-06-30
1974,Group A,East Germany,Netherlands,0,2,A,Netherlands,1974-06-30
1974,Group B,West Germany,Sweden,4,2,H,West Germany,1974-06-30
1974,Group B,Poland,Yugoslavia,2,1,H,Poland,1974-06-30
1974,Group A,Argentina,East Germany,1,1,D,Tied,1974-07-03
1974,Group B,West Germany,Poland,1,0,H,West Germany,1974-07-03
1974,Group A,Netherlands,Brazil,2,0,H,Netherlands,1974-07-03
1974,Group B,Sweden,Yugoslavia,2,1,H,Sweden,1974-07-03
1974,Third place,Brazil,Poland,0,1,A,Poland,1974-07-06
1974,Final,West Germany,Netherlands,2,1,H,West Germany,1974-07-07
1978,Group 2,West Germany,Poland,0,0,D,Tied,1978-06-01
1978,Group 1,Argentina,Hungary,2,1,H,Argentina,1978-06-02
1978,Group 1,France,Italy,1,2,A,Italy,1978-06-02
1978,Group 2,Mexico,Tunisia,1,3,A,Tunisia,1978-06-02
1978,Group 3,Austria,Spain,2,1,H,Austria,1978-06-03
1978,Group 3,Brazil,Sweden,1,1,D,Tied,1978-06-03
